num_agents,scenario,algorithm,soc,sod,solved
800,19,DyMAB-aUCB,140658,548,1
800,19,DyMAB-eGreedy,142738,2628,1
800,19,MAPF-LNS2,140851,741,1
800,19,MAPF-LNS,0,0,0
800,19,BALANCE-UCB1,146697,6587,0
800,19,BALANCE-Thompson,146705,6595,0
800,1,DyMAB-aUCB,142337,713,1
800,1,DyMAB-eGreedy,145243,3619,1
800,1,MAPF-LNS2,142303,679,1
800,1,MAPF-LNS,0,0,0
800,1,BALANCE-UCB1,149668,8044,0
800,1,BALANCE-Thompson,149012,7388,0
800,20,DyMAB-aUCB,148427,1085,1
800,20,DyMAB-eGreedy,151257,3915,1
800,20,MAPF-LNS2,148278,936,1
800,20,MAPF-LNS,0,0,0
800,20,BALANCE-UCB1,155553,8211,0
800,20,BALANCE-Thompson,154736,7394,0
800,21,DyMAB-aUCB,149231,881,1
800,21,DyMAB-eGreedy,151873,3523,1
800,21,MAPF-LNS2,149375,1025,1
800,21,MAPF-LNS,0,0,0
800,21,BALANCE-UCB1,156593,8243,0
800,21,BALANCE-Thompson,155382,7032,1
800,22,DyMAB-aUCB,144373,944,1
800,22,DyMAB-eGreedy,147172,3743,1
800,22,MAPF-LNS2,144357,928,1
800,22,MAPF-LNS,0,0,0
800,22,BALANCE-UCB1,151164,7735,0
800,22,BALANCE-Thompson,151493,8064,2
800,23,DyMAB-aUCB,145686,1315,1
800,23,DyMAB-eGreedy,148061,3690,1
800,23,MAPF-LNS2,145157,786,1
800,23,MAPF-LNS,0,0,0
800,23,BALANCE-UCB1,152122,7751,0
800,23,BALANCE-Thompson,152631,8260,0
800,24,DyMAB-aUCB,145564,780,1
800,24,DyMAB-eGreedy,148672,3888,1
800,24,MAPF-LNS2,145499,715,1
800,24,MAPF-LNS,0,0,0
800,24,BALANCE-UCB1,152137,7353,0
800,24,BALANCE-Thompson,150842,6058,0
800,25,DyMAB-aUCB,146861,914,1
800,25,DyMAB-eGreedy,148814,2867,1
800,25,MAPF-LNS2,146740,793,1
800,25,MAPF-LNS,0,0,0
800,25,BALANCE-UCB1,152881,6934,0
800,25,BALANCE-Thompson,152376,6429,0
800,2,DyMAB-aUCB,145252,750,1
800,2,DyMAB-eGreedy,149379,4877,1
800,2,MAPF-LNS2,145169,667,1
800,2,MAPF-LNS,0,0,0
800,2,BALANCE-UCB1,154357,9855,0
800,2,BALANCE-Thompson,153215,8713,0
800,3,DyMAB-aUCB,145633,953,1
800,3,DyMAB-eGreedy,150513,5833,1
800,3,MAPF-LNS2,145577,897,1
800,3,MAPF-LNS,0,0,0
800,3,BALANCE-UCB1,154669,9989,0
800,3,BALANCE-Thompson,153663,8983,0
800,4,DyMAB-aUCB,145826,785,1
800,4,DyMAB-eGreedy,148278,3237,1
800,4,MAPF-LNS2,145966,925,1
800,4,MAPF-LNS,0,0,0
800,4,BALANCE-UCB1,153528,8487,0
800,4,BALANCE-Thompson,153285,8244,0
800,5,DyMAB-aUCB,147605,1147,1
800,5,DyMAB-eGreedy,151829,5371,1
800,5,MAPF-LNS2,147568,1110,1
800,5,MAPF-LNS,0,0,0
800,5,BALANCE-UCB1,155421,8963,0
800,5,BALANCE-Thompson,154626,8168,0
800,6,DyMAB-aUCB,146339,1411,1
800,6,DyMAB-eGreedy,148705,3777,1
800,6,MAPF-LNS2,146648,1720,1
800,6,MAPF-LNS,0,0,0
800,6,BALANCE-UCB1,154426,9498,1
800,6,BALANCE-Thompson,152576,7648,0
800,7,DyMAB-aUCB,139161,519,1
800,7,DyMAB-eGreedy,142808,4166,1
800,7,MAPF-LNS2,139125,483,1
800,7,MAPF-LNS,0,0,0
800,7,BALANCE-UCB1,147833,9191,0
800,7,BALANCE-Thompson,148125,9483,0
800,8,DyMAB-aUCB,148347,623,1
800,8,DyMAB-eGreedy,151367,3643,1
800,8,MAPF-LNS2,148744,1020,1
800,8,MAPF-LNS,0,0,0
800,8,BALANCE-UCB1,156727,9003,1
800,8,BALANCE-Thompson,154245,6521,0
800,9,DyMAB-aUCB,142415,595,1
800,9,DyMAB-eGreedy,145233,3413,1
800,9,MAPF-LNS2,142347,527,1
800,9,MAPF-LNS,0,0,0
800,9,BALANCE-UCB1,149264,7444,0
800,9,BALANCE-Thompson,149565,7745,1
