num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
2,36019,"",3.49461,35485,35485,PP
2,36018,"",3.49923,35485,35485,PP
3,36018,"",3.50516,35485,35485,PP
8,36017,"",3.5182,35485,35485,PP
6,36017,"",3.53067,35485,35485,PP
2,36017,"",3.53597,35485,35485,PP
6,36017,"",3.54494,35485,35485,PP
2,36017,"",3.55203,35485,35485,PP
8,36017,"",3.56747,35485,35485,PP
6,36017,"",3.58265,35485,35485,PP
4,36017,"",3.59083,35485,35485,PP
3,36017,"",3.60025,35485,35485,PP
3,36017,"",3.60708,35485,35485,PP
4,36017,"",3.61312,35485,35485,PP
8,36017,"",3.62992,35485,35485,PP
3,36016,"",3.63579,35485,35485,PP
8,36016,"",3.65086,35485,35485,PP
8,36016,"",3.66841,35485,35485,PP
3,36016,"",3.67531,35485,35485,PP
2,36016,"",3.67985,35485,35485,PP
4,36016,"",3.68792,35485,35485,PP
4,36016,"",3.69787,35485,35485,PP
4,36016,"",3.70544,35485,35485,PP
4,36016,"",3.71637,35485,35485,PP
2,36016,"",3.72093,35485,35485,PP
2,35992,"",3.72511,35485,35485,PP
2,35992,"",3.72955,35485,35485,PP
4,35992,"",3.74153,35485,35485,PP
4,35991,"",3.74829,35485,35485,PP
2,35991,"",3.75543,35485,35485,PP
2,35991,"",3.76055,35485,35485,PP
4,35991,"",3.77083,35485,35485,PP
4,35991,"",3.78306,35485,35485,PP
2,35991,"",3.78739,35485,35485,PP
8,35991,"",3.81099,35485,35485,PP
2,35985,"",3.81489,35485,35485,PP
7,35985,"",3.82958,35485,35485,PP
2,35985,"",3.83418,35485,35485,PP
6,35985,"",3.85059,35485,35485,PP
3,35985,"",3.85954,35485,35485,PP
3,35985,"",3.8733,35485,35485,PP
4,35985,"",3.88113,35485,35485,PP
5,35985,"",3.89227,35485,35485,PP
3,35985,"",3.89972,35485,35485,PP
3,35985,"",3.9103,35485,35485,PP
4,35985,"",3.92021,35485,35485,PP
7,35985,"",3.93772,35485,35485,PP
3,35985,"",3.94332,35485,35485,PP
8,35985,"",3.96202,35485,35485,PP
3,35985,"",3.9674,35485,35485,PP
2,35985,"",3.97109,35485,35485,PP
3,35977,"",3.97688,35485,35485,PP
3,35977,"",3.9827,35485,35485,PP
6,35977,"",3.99928,35485,35485,PP
3,35977,"",4.00575,35485,35485,PP
4,35977,"",4.02094,35485,35485,PP
2,35881,"",4.02571,35485,35485,PP
4,35881,"",4.03293,35485,35485,PP
7,35881,"",4.0516,35485,35485,PP
2,35881,"",4.06582,35485,35485,PP
5,35881,"",4.07861,35485,35485,PP
2,35880,"",4.09103,35485,35485,PP
8,35880,"",4.10862,35485,35485,PP
4,35880,"",4.12918,35485,35485,PP
2,35880,"",4.13721,35485,35485,PP
3,35880,"",4.14391,35485,35485,PP
3,35880,"",4.15254,35485,35485,PP
8,35880,"",4.17812,35485,35485,PP
3,35880,"",4.18439,35485,35485,PP
3,35880,"",4.19322,35485,35485,PP
2,35880,"",4.20381,35485,35485,PP
9,35880,"",4.22524,35485,35485,PP
3,35880,"",4.23285,35485,35485,PP
6,35880,"",4.24476,35485,35485,PP
2,35880,"",4.25177,35485,35485,PP
2,35880,"",4.26557,35485,35485,PP
2,35713,"",4.27776,35485,35485,PP
4,35713,"",4.28825,35485,35485,PP
2,35713,"",4.30168,35485,35485,PP
8,35713,"",4.32202,35485,35485,PP
3,35713,"",4.32903,35485,35485,PP
5,35712,"",4.33675,35485,35485,PP
5,35712,"",4.35671,35485,35485,PP
2,35712,"",4.3711,35485,35485,PP
3,35712,"",4.38705,35485,35485,PP
3,35712,"",4.39279,35485,35485,PP
5,35712,"",4.40746,35485,35485,PP
3,35712,"",4.42453,35485,35485,PP
2,35712,"",4.44084,35485,35485,PP
5,35709,"",4.45986,35485,35485,PP
2,35669,"",4.46741,35485,35485,PP
4,35669,"",4.48018,35485,35485,PP
2,35669,"",4.49098,35485,35485,PP
3,35669,"",4.50436,35485,35485,PP
5,35669,"",4.51877,35485,35485,PP
3,35663,"",4.52649,35485,35485,PP
8,35663,"",4.54863,35485,35485,PP
4,35663,"",4.55875,35485,35485,PP
4,35663,"",4.5717,35485,35485,PP
5,35663,"",4.58638,35485,35485,PP
4,35663,"",4.59344,35485,35485,PP
2,35663,"",4.60293,35485,35485,PP
4,35663,"",4.61719,35485,35485,PP
4,35663,"",4.63209,35485,35485,PP
4,35663,"",4.64274,35485,35485,PP
7,35663,"",4.66059,35485,35485,PP
4,35663,"",4.66852,35485,35485,PP
5,35663,"",4.68703,35485,35485,PP
4,35663,"",4.69381,35485,35485,PP
3,35663,"",4.70246,35485,35485,PP
7,35663,"",4.7209,35485,35485,PP
4,35663,"",4.72832,35485,35485,PP
2,35663,"",4.74308,35485,35485,PP
8,35663,"",4.75498,35485,35485,PP
8,35663,"",4.77487,35485,35485,PP
3,35663,"",4.78185,35485,35485,PP
3,35663,"",4.79243,35485,35485,PP
8,35663,"",4.80952,35485,35485,PP
3,35650,"",4.8175,35485,35485,PP
4,35650,"",4.83092,35485,35485,PP
4,35650,"",4.8651,35485,35485,PP
4,35650,"",4.87456,35485,35485,PP
2,35650,"",4.87978,35485,35485,PP
4,35650,"",4.88711,35485,35485,PP
9,35649,"",4.90589,35485,35485,PP
3,35649,"",4.91517,35485,35485,PP
2,35649,"",4.92427,35485,35485,PP
3,35649,"",4.93057,35485,35485,PP
8,35649,"",4.95043,35485,35485,PP
2,35649,"",4.95512,35485,35485,PP
8,35649,"",4.97624,35485,35485,PP
2,35649,"",4.98417,35485,35485,PP
4,35649,"",4.99161,35485,35485,PP
3,35649,"",5.00357,35485,35485,PP
5,35649,"",5.01367,35485,35485,PP
2,35649,"",5.02316,35485,35485,PP
4,35649,"",5.0394,35485,35485,PP
2,35649,"",5.04696,35485,35485,PP
4,35649,"",5.06007,35485,35485,PP
4,35648,"",5.06997,35485,35485,PP
6,35648,"",5.0833,35485,35485,PP
8,35648,"",5.09748,35485,35485,PP
6,35648,"",5.10827,35485,35485,PP
8,35648,"",5.12178,35485,35485,PP
3,35648,"",5.13183,35485,35485,PP
6,35648,"",5.13991,35485,35485,PP
6,35648,"",5.15067,35485,35485,PP
5,35648,"",5.16385,35485,35485,PP
8,35648,"",5.18455,35485,35485,PP
3,35647,"",5.19123,35485,35485,PP
2,35647,"",5.20026,35485,35485,PP
8,35647,"",5.21643,35485,35485,PP
2,35647,"",5.22101,35485,35485,PP
8,35647,"",5.24112,35485,35485,PP
4,35647,"",5.25099,35485,35485,PP
6,35647,"",5.25995,35485,35485,PP
8,35647,"",5.27611,35485,35485,PP
8,35647,"",5.29243,35485,35485,PP
2,35647,"",5.31613,35485,35485,PP
6,35647,"",5.32508,35485,35485,PP
3,35647,"",5.33136,35485,35485,PP
4,35647,"",5.3385,35485,35485,PP
4,35647,"",5.3489,35485,35485,PP
6,35647,"",5.36249,35485,35485,PP
2,35647,"",5.37058,35485,35485,PP
3,35647,"",5.37821,35485,35485,PP
3,35647,"",5.39302,35485,35485,PP
2,35647,"",5.40064,35485,35485,PP
8,35647,"",5.41701,35485,35485,PP
4,35647,"",5.4238,35485,35485,PP
3,35647,"",5.43587,35485,35485,PP
3,35647,"",5.44295,35485,35485,PP
3,35546,"",5.44786,35485,35485,PP
7,35546,"",5.461,35485,35485,PP
7,35546,"",5.47524,35485,35485,PP
8,35546,"",5.49095,35485,35485,PP
7,35546,"",5.51057,35485,35485,PP
6,35546,"",5.53148,35485,35485,PP
4,35546,"",5.54002,35485,35485,PP
6,35546,"",5.55693,35485,35485,PP
7,35546,"",5.56693,35485,35485,PP
5,35528,"",5.58459,35485,35485,PP
2,35528,"",5.59508,35485,35485,PP
4,35528,"",5.61335,35485,35485,PP
8,35528,"",5.63047,35485,35485,PP
4,35528,"",5.63825,35485,35485,PP
5,35528,"",5.64783,35485,35485,PP
3,35528,"",5.65292,35485,35485,PP
7,35528,"",5.67108,35485,35485,PP
7,35528,"",5.68339,35485,35485,PP
2,35528,"",5.68863,35485,35485,PP
3,35528,"",5.6975,35485,35485,PP
3,35528,"",5.70804,35485,35485,PP
5,35528,"",5.71652,35485,35485,PP
4,35528,"",5.73256,35485,35485,PP
5,35528,"",5.74298,35485,35485,PP
3,35528,"",5.75193,35485,35485,PP
4,35528,"",5.76205,35485,35485,PP
8,35528,"",5.7781,35485,35485,PP
2,35528,"",5.79125,35485,35485,PP
9,35528,"",5.81442,35485,35485,PP
3,35528,"",5.82995,35485,35485,PP
2,35528,"",5.84389,35485,35485,PP
5,35528,"",5.86043,35485,35485,PP
9,35528,"",5.88193,35485,35485,PP
